City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Catamarca,AR,-28.47,-65.79,66.99,79,6,1.99
1,Hopelchen,MX,19.77,-89.85,86.0,74,20,11.41
2,Huilong,CN,31.81,121.66,64.99,94,100,7.0
3,Port alfred,ZA,-33.59,26.89,60.01,88,0,1.01
4,Pangnirtung,CA,66.15,-65.71,12.2,78,90,14.99
5,Katangli,RU,51.71,143.23,31.75,94,100,16.64
6,Cocal,BR,-28.62,-49.35,61.16,64,0,3.76
7,Alyangula,AU,-13.85,136.42,80.6,54,87,5.82
8,Katsina,NG,12.99,7.6,85.6,32,58,12.68
9,Saint-philippe,RE,-21.36,55.77,75.2,73,43,5.82
10,Sarangani,PH,5.4,125.46,83.95,71,0,2.75
11,Punta arenas,CL,-53.15,-70.92,37.4,86,0,8.05
12,Vaini,TO,-21.2,-175.2,82.4,74,40,5.82
13,Bredasdorp,ZA,-34.53,20.04,51.8,87,23,4.7
14,Teguldet,RU,57.31,88.17,37.65,87,100,13.33
15,Nome,US,64.5,-165.41,44.6,45,1,6.93
16,Noyabrsk,RU,63.2,75.45,23.45,89,0,9.4
17,Mataura,NZ,-46.19,168.86,43.56,87,82,9.15
18,Avarua,CK,-21.21,-159.78,80.6,83,7,5.82
19,Ushuaia,AR,-54.8,-68.3,44.6,81,0,26.4
20,Yar-sale,RU,66.83,70.83,14.56,91,67,8.32
21,Constitucion,CL,-35.33,-72.42,57.43,82,92,7.31
22,New norfolk,AU,-42.78,147.06,50.0,85,61,3.22
23,Kristiansund,NO,63.11,7.73,37.4,69,93,10.29
24,Aleksandrov gay,RU,50.15,48.57,60.71,52,21,12.37
25,Barrow,US,71.29,-156.79,10.4,85,1,12.75
26,Rikitea,PF,-23.12,-134.97,73.42,72,98,14.47
27,Ponta do sol,PT,32.67,-17.1,66.2,59,20,6.93
28,Saldanha,ZA,-33.01,17.94,53.6,87,57,3.36
29,Sinnamary,GF,5.38,-52.95,78.87,86,93,13.0
30,Kupang,ID,-10.17,123.58,80.6,78,20,12.75
31,Codrington,AU,-38.27,141.97,55.96,72,1,10.74
32,Acari,PE,-15.43,-74.62,72.72,57,82,3.42
33,Iquique,CL,-20.22,-70.14,66.2,68,70,13.87
34,Sitka,US,57.05,-135.33,55.4,43,40,10.29
35,Lavrentiya,RU,65.58,-171.0,32.23,92,0,4.94
36,Caceres,ES,39.52,-6.37,57.0,81,100,1.01
37,Port lincoln,AU,-34.73,135.87,61.07,45,42,15.88
38,Payakumbuh,ID,-0.22,100.63,71.96,73,100,1.77
39,Chokurdakh,RU,70.63,147.92,21.47,97,99,3.56
40,Berbera,SO,10.44,45.01,85.78,75,62,8.21
41,Qaanaaq,GL,77.48,-69.36,16.54,93,100,2.71
42,Necochea,AR,-38.55,-58.74,57.0,83,53,1.99
43,Yellowknife,CA,62.46,-114.35,39.2,51,20,9.17
44,Jamestown,US,42.1,-79.24,46.0,66,75,10.29
45,Bambous virieux,MU,-20.34,57.76,73.99,83,20,4.7
46,Djambala,CG,-2.54,14.75,71.82,69,79,3.15
47,Hobart,AU,-42.88,147.33,54.0,81,40,8.05
48,Busselton,AU,-33.65,115.33,57.99,74,99,15.75
49,Houston,US,29.76,-95.36,87.01,51,40,13.87
50,Butaritari,KI,3.07,172.79,82.87,81,94,15.57
51,Bluff,NZ,-46.6,168.33,45.95,71,77,20.78
52,Mahebourg,MU,-20.41,57.7,73.4,83,20,4.7
53,Clyde river,CA,70.47,-68.59,8.6,84,1,6.93
54,Vestmannaeyjar,IS,63.44,-20.27,45.88,82,34,24.49
55,Ballybofey,IE,54.8,-7.78,42.66,92,0,5.14
56,Marzuq,YE,14.4,46.47,76.06,42,100,7.87
57,Castro,BR,-24.79,-50.01,53.31,54,0,2.59
58,Port hedland,AU,-20.32,118.57,64.4,59,0,6.93
59,Norman wells,CA,65.28,-126.83,39.2,60,40,16.11
60,Gazojak,TM,41.19,61.4,63.25,58,27,3.6
61,Hofn,IS,64.25,-15.21,45.09,80,100,19.71
62,Albany,US,42.6,-73.97,50.0,54,66,1.99
63,Wawa,NG,9.9,4.42,81.52,62,11,11.01
64,Ilulissat,GL,69.22,-51.1,21.2,62,100,11.41
65,Carnarvon,AU,-24.87,113.63,62.6,100,90,4.7
66,Tuktoyaktuk,CA,69.45,-133.04,17.6,78,20,13.87
67,Hami,CN,42.8,93.45,68.85,23,98,7.14
68,Tiksi,RU,71.69,128.87,19.33,97,100,9.57
69,Babu,CN,24.42,111.52,81.75,75,17,4.27
70,Atuona,PF,-9.8,-139.03,81.91,69,0,17.07
71,Severo-kurilsk,RU,50.68,156.12,38.93,93,100,22.1
72,Tumaco,CO,1.8,-78.82,79.41,86,68,9.62
73,Albania,AL,41.0,20.0,50.0,87,0,3.36
74,Cherskiy,RU,68.75,161.3,28.98,96,100,3.42
75,Gigmoto,PH,13.78,124.39,84.65,77,54,10.02
76,Vila franca do campo,PT,37.72,-25.43,60.8,82,40,23.04
77,Urumqi,CN,43.8,87.6,59.0,62,77,2.24
78,Alice springs,AU,-23.7,133.88,50.0,43,0,3.36
79,Bhatkal,IN,13.97,74.57,80.29,84,44,7.23
80,Ulaangom,MN,49.98,92.07,46.47,36,0,12.77
81,Faya,SA,18.39,42.45,66.2,59,91,8.34
82,Puerto ayora,EC,-0.74,-90.35,80.6,78,75,11.41
83,Saint-pierre,RE,-21.34,55.48,75.2,73,3,5.82
84,Misratah,LY,32.38,15.09,65.07,84,11,3.06
85,Esperance,AU,-33.87,121.9,60.8,93,95,5.82
86,Hermanus,ZA,-34.42,19.23,59.0,81,36,4.0
87,Muscat,OM,23.61,58.59,96.8,30,9,9.17
88,Jiamusi,CN,46.83,130.35,52.32,43,100,5.32
89,Aklavik,CA,68.22,-135.01,35.6,40,20,6.93
90,Souillac,MU,-20.52,57.52,73.4,83,20,4.7
91,Te anau,NZ,-45.42,167.72,42.19,78,96,6.53
92,San cristobal,VE,7.77,-72.22,89.6,55,40,9.17
93,Hurghada,EG,27.26,33.81,78.8,25,0,9.17
94,Khatanga,RU,71.97,102.5,3.49,92,67,15.28
95,Tura,IN,25.52,90.22,72.66,71,0,4.85
96,Rawson,AR,-43.3,-65.1,51.98,68,98,20.15
97,Tezu,IN,27.92,96.17,72.95,62,6,2.62
98,Tomatlan,MX,19.93,-105.25,83.88,46,100,6.64
99,Rudnichnyy,RU,59.62,52.47,49.33,88,93,6.33
100,Ossora,RU,59.24,163.07,29.61,98,100,8.32
101,Skibbereen,IE,51.55,-9.27,51.8,71,20,19.46
102,Peterhead,GB,57.51,-1.8,41.0,86,75,1.12
103,Villaviciosa,ES,43.48,-5.44,59.0,82,76,4.7
104,Yining,CN,29.04,114.56,74.98,86,100,2.82
105,Qala,AZ,40.44,50.17,60.8,87,100,11.41
106,Muisne,EC,0.6,-80.03,80.6,94,75,5.82
107,Nikolskoye,RU,59.7,30.79,37.99,93,94,2.24
108,Boende,CD,-0.22,20.87,75.78,76,51,2.35
109,Huarmey,PE,-10.07,-78.15,69.01,82,43,10.22
110,Kharp,RU,66.8,65.81,20.8,96,100,3.98
111,Urusha,RU,54.05,122.9,48.6,38,6,3.31
112,Port blair,IN,11.67,92.75,83.75,75,100,6.53
113,Tungawan,PH,7.51,122.37,84.38,72,38,5.68
114,Oshkosh,US,44.02,-88.54,48.99,49,1,13.87
115,Hangu,CN,39.25,117.79,53.6,81,0,4.47
116,Kindersley,CA,51.47,-109.17,52.0,53,75,19.46
117,Vallenar,CL,-28.57,-70.76,60.01,60,0,1.66
118,Kodiak,US,57.79,-152.41,48.2,87,90,6.93
119,Jiaojiang,CN,28.68,121.44,72.0,90,88,3.62
120,Kilindoni,TZ,-7.91,39.67,81.43,78,7,18.68
121,Ribeira grande,PT,38.52,-28.7,61.16,77,63,23.98
122,Ondo,NG,7.1,4.83,74.59,89,59,1.59
123,Moose factory,CA,51.26,-80.61,24.8,58,1,8.05
124,Liuli,TZ,-11.08,34.63,73.4,61,62,4.36
125,Berlevag,NO,70.86,29.09,38.03,81,97,21.61
126,Kaitangata,NZ,-46.28,169.85,46.99,73,36,14.0
127,Longyearbyen,SJ,78.22,15.64,24.8,79,75,11.41
128,Dingle,PH,11.0,122.67,85.32,72,93,4.23
129,Ferrol,ES,43.48,-8.24,59.0,82,75,8.05
130,Siverek,TR,37.76,39.32,57.2,71,54,5.82
131,Buala,SB,-8.14,159.59,85.73,68,84,5.35
132,Kruisfontein,ZA,-34.0,24.73,57.92,67,10,7.11
133,Thinadhoo,MV,0.53,72.93,84.88,74,96,11.05
134,Balkanabat,TM,39.51,54.37,74.62,33,35,4.97
135,Vila velha,BR,-20.33,-40.29,73.4,78,30,3.36
136,Norton,ZW,-17.88,30.7,52.11,50,14,3.91
137,Lompoc,US,34.64,-120.46,70.0,43,1,17.22
138,Harper,LR,4.38,-7.72,80.51,83,92,3.94
139,Kapaa,US,22.08,-159.32,80.6,61,90,20.8
140,Sembakung,ID,3.82,117.25,76.57,97,81,3.02
141,Abu samrah,SY,35.3,37.18,59.56,64,78,0.29
142,Bone,DE,51.97,12.14,37.0,82,0,6.02
143,Aromashevo,RU,56.86,68.64,37.38,76,0,5.08
144,Jumla,NP,29.27,82.18,46.78,32,59,3.96
145,Garbolovo,RU,60.34,30.5,37.0,69,10,2.57
146,Fairbanks,US,64.84,-147.72,61.0,30,75,4.7
147,Havoysund,NO,71.0,24.66,35.6,79,75,28.86
148,Ahipara,NZ,-35.17,173.17,61.93,69,37,16.82
149,Usoke,TZ,-5.17,32.35,71.6,78,40,3.98
150,Carbonia,IT,39.17,8.52,63.0,87,40,3.36
151,Kumluca,TR,36.37,30.29,60.01,68,41,4.99
152,Velikiy ustyug,RU,60.76,46.31,53.24,92,94,5.95
153,Kurilsk,RU,45.23,147.88,39.29,91,100,20.54
154,Yulara,AU,-25.24,130.99,53.6,32,0,11.41
155,Geraldton,AU,-28.77,114.6,68.0,88,90,2.24
156,New glasgow,CA,45.58,-62.65,43.0,94,100,15.99
157,Mar del plata,AR,-38.0,-57.56,61.0,82,45,3.36
158,Lakes entrance,AU,-37.88,147.98,55.0,84,0,2.55
159,Cape town,ZA,-33.93,18.42,59.0,93,52,8.05
160,Hithadhoo,MV,-0.6,73.08,84.6,73,66,9.86
161,Kavieng,PG,-2.57,150.8,84.7,77,99,10.8
162,Rauma,FI,61.13,21.51,37.4,69,92,4.7
163,Adrar,MR,20.5,-10.07,89.08,10,0,8.34
164,Vilyuysk,RU,63.76,121.62,41.13,61,26,3.89
165,Akora,PK,34.0,72.13,64.4,77,40,4.7
166,Quatre cocos,MU,-20.21,57.76,73.99,83,20,4.7
