City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,22.08,-159.32,80.6,61,40,10.29
1,Newala,TZ,-10.94,39.28,64.76,100,41,4.14
2,Tuktoyaktuk,CA,69.45,-133.04,30.2,80,90,8.05
3,Busselton,AU,-33.65,115.33,48.0,98,68,25.5
4,Yerofey pavlovich,RU,53.97,121.97,43.09,57,1,0.69
5,Rajpipla,IN,21.87,73.5,81.86,66,0,4.09
6,Saldanha,ZA,-33.01,17.94,59.0,87,96,4.7
7,Calvinia,ZA,-31.47,19.78,59.54,33,91,2.71
8,Cape town,ZA,-33.93,18.42,64.99,88,93,9.17
9,Durban,ZA,-29.86,31.03,64.99,82,40,3.36
10,Ushuaia,AR,-54.8,-68.3,42.8,60,97,5.82
11,Khatanga,RU,71.97,102.5,-1.66,89,0,8.57
12,Talnakh,RU,69.49,88.4,17.6,85,100,11.18
13,Muros,ES,42.78,-9.06,61.0,86,82,10.0
14,Albany,US,42.6,-73.97,59.0,21,81,7.0
15,Mataura,NZ,-46.19,168.86,47.3,83,93,4.45
16,Vaini,TO,-21.2,-175.2,78.8,83,75,6.93
17,Buluang,PH,13.31,123.34,79.74,85,100,4.7
18,Kavieng,PG,-2.57,150.8,82.74,79,100,5.17
19,Hobart,AU,-42.88,147.33,55.99,66,75,8.05
20,Fortuna,US,40.6,-124.16,60.01,87,75,19.46
21,Puerto ayora,EC,-0.74,-90.35,82.4,74,40,17.22
22,Ribeira grande,PT,38.52,-28.7,61.18,84,83,13.42
23,Bluff,NZ,-46.6,168.33,53.2,77,99,25.57
24,Rikitea,PF,-23.12,-134.97,73.2,62,100,9.06
25,Mar del plata,AR,-38.0,-57.56,54.0,66,90,16.11
26,Carnarvon,AU,-24.87,113.63,69.44,77,9,15.59
27,Souillac,MU,-20.52,57.52,73.4,94,75,3.36
28,Jerusalem,IL,31.77,35.22,57.0,94,42,11.01
29,Bima,ID,-8.47,118.72,75.56,89,24,3.53
30,Avarua,CK,-21.21,-159.78,82.4,74,66,3.36
31,Iqaluit,CA,63.75,-68.51,19.4,67,5,10.29
32,Saint-philippe,RE,-21.36,55.77,75.2,83,40,10.22
33,Ilulissat,GL,69.22,-51.1,28.4,58,0,8.05
34,Port alfred,ZA,-33.59,26.89,61.0,85,44,3.0
35,Prince rupert,CA,54.32,-130.32,55.29,55,39,5.17
36,Jamestown,US,42.1,-79.24,48.2,39,1,11.41
37,Green river,US,41.53,-109.47,64.4,12,1,10.29
38,Clyde river,CA,70.47,-68.59,12.2,85,20,8.05
39,Mogadishu,SO,2.04,45.34,82.71,82,92,13.02
40,Caravelas,BR,-17.71,-39.25,72.75,75,25,4.54
41,Yellowknife,CA,62.46,-114.35,44.6,42,20,8.05
42,Torbay,CA,47.67,-52.73,43.0,100,90,18.34
43,Lebu,CL,-37.62,-73.65,56.01,69,0,18.41
44,Cayenne,GF,4.93,-52.33,82.4,83,75,4.7
45,Cabo san lucas,MX,22.89,-109.91,89.6,33,5,10.29
46,Nikolskoye,RU,59.7,30.79,51.8,50,49,5.32
47,Chokurdakh,RU,70.63,147.92,16.52,96,91,7.18
48,Mwinilunga,ZM,-11.74,24.43,60.35,77,12,4.83
49,East london,ZA,-33.02,27.91,64.54,68,88,12.77
50,Tiarei,PF,-17.53,-149.33,87.8,66,88,4.7
51,Saskylakh,RU,71.92,114.08,-2.83,91,58,7.76
52,Hilo,US,19.73,-155.09,80.6,54,90,10.29
53,Havre-saint-pierre,CA,50.23,-63.6,41.0,48,75,16.11
54,Forssa,FI,60.81,23.62,45.0,68,3,3.0
55,Richards bay,ZA,-28.78,32.04,65.62,83,19,8.41
56,New norfolk,AU,-42.78,147.06,55.99,82,100,3.85
57,Gorontalo,ID,0.54,123.06,77.09,89,28,1.88
58,Puerto escondido,MX,15.85,-97.07,86.0,66,75,8.86
59,Bathsheba,BB,13.22,-59.52,82.4,74,75,21.92
60,Barrow,US,71.29,-156.79,17.6,72,1,8.05
61,Spencer,US,43.14,-95.14,51.8,71,100,12.75
62,Airai,TL,-8.93,125.41,61.41,100,35,3.24
63,Jamame,SO,0.07,42.75,79.05,89,100,7.54
64,San ramon,US,37.78,-121.98,81.0,29,1,14.99
65,Rockland,US,41.17,-74.05,64.0,23,72,1.99
66,Zhezkazgan,KZ,47.8,67.71,44.6,52,90,15.66
67,Longyearbyen,SJ,78.22,15.64,30.2,68,75,26.4
68,Tiksi,RU,71.69,128.87,18.97,97,100,8.25
69,Punta arenas,CL,-53.15,-70.92,42.8,81,99,2.3
70,Hermanus,ZA,-34.42,19.23,60.01,90,80,7.25
71,Poum,NC,-20.23,164.02,70.5,87,100,21.18
72,Lompoc,US,34.64,-120.46,71.01,59,1,18.34
73,Fairbanks,US,64.84,-147.72,60.01,32,20,3.85
74,Carutapera,BR,-1.2,-46.02,77.79,93,100,8.03
75,Castro,BR,-24.79,-50.01,62.06,75,100,5.28
76,Zhicheng,CN,30.3,111.5,69.01,76,90,1.83
77,Tasiilaq,GL,65.61,-37.64,35.6,51,29,2.24
78,Beringovskiy,RU,63.05,179.32,25.05,90,0,2.59
79,Fatehpur,IN,25.93,80.8,78.31,49,0,6.51
80,Provideniya,RU,64.38,-173.3,32.0,76,68,4.47
81,Kodiak,US,57.79,-152.41,44.6,75,90,24.16
82,Keetmanshoop,NA,-26.58,18.13,71.46,21,0,8.81
83,Atuona,PF,-9.8,-139.03,80.96,75,35,18.3
